,probe_g,
1007_s_at,DDR1,discoidin domain receptor tyrosine kinase 1
1053_at,RFC2,replication factor C subunit 2
117_at,HSPA6,heat shock protein family A (Hsp70) member 6
121_at,PAX8,paired box 8
1255_g_at,GUCA1A,guanylate cyclase activator 1A
1294_at,UBA7,ubiquitin like modifier activating enzyme 7
1316_at,THRA,thyroid hormone receptor alpha
1320_at,PTPN21,protein tyrosine phosphatase non-receptor type 21
1405_i_at,CCL5,C-C motif chemokine ligand 5
1431_at,CYP2E1,cytochrome P450 family 2 subfamily E member 1
1438_at,EPHB3,EPH receptor B3
1487_at,ESRRA,estrogen related receptor alpha
1494_f_at,CYP2A6,cytochrome P450 family 2 subfamily A member 6
1598_g_at,GAS6,growth arrest specific 6
160020_at,MMP14,matrix metallopeptidase 14
1729_at,TRADD,TNFRSF1A associated via death domain
177_at,PLD1,phospholipase D1
1773_at,FNTB,"farnesyltransferase, CAAX box, beta"
1773_at,CHURC1-FNTB,CHURC1-FNTB readthrough
179_at,DTX2P1-UPK3BP1-PMS2P11,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene"
1861_at,BAD,BCL2 associated agonist of cell death
200000_s_at,PRPF8,pre-mRNA processing factor 8
200001_at,CAPNS1,calpain small subunit 1
200002_at,RPL35,ribosomal protein L35
200003_s_at,RPL28,ribosomal protein L28
200004_at,EIF4G2,eukaryotic translation initiation factor 4 gamma 2
200005_at,EIF3D,eukaryotic translation initiation factor 3 subunit D
200006_at,PARK7,Parkinsonism associated deglycase
200007_at,SRP14,signal recognition particle 14
200008_s_at,GDI2,GDP dissociation inhibitor 2
200009_at,GDI2,GDP dissociation inhibitor 2
200010_at,RPL11,ribosomal protein L11
200011_s_at,ARF3,ADP ribosylation factor 3
200012_x_at,RPL21,ribosomal protein L21
200012_x_at,RPL21P28,ribosomal protein L21 pseudogene 28
200013_at,RPL24,ribosomal protein L24
200014_s_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C
200015_s_at,SEPTIN2,septin 2
200016_x_at,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
200017_at,RPS27A,ribosomal protein S27a
200018_at,RPS13,ribosomal protein S13
200019_s_at,FAU,FAU ubiquitin like and ribosomal protein S30 fusion
200020_at,TARDBP,TAR DNA binding protein
200021_at,CFL1,cofilin 1
200022_at,RPL18,ribosomal protein L18
200023_s_at,EIF3F,eukaryotic translation initiation factor 3 subunit F
200024_at,RPS5,ribosomal protein S5
200025_s_at,RPL27,ribosomal protein L27
200026_at,RPL34,ribosomal protein L34
200027_at,NARS1,asparaginyl-tRNA synthetase 1
200028_s_at,STARD7,StAR related lipid transfer domain containing 7
200029_at,RPL19,ribosomal protein L19
200030_s_at,SLC25A3,solute carrier family 25 member 3
200031_s_at,RPS11,ribosomal protein S11
200032_s_at,RPL9,ribosomal protein L9
200033_at,DDX5,DEAD-box helicase 5
200034_s_at,RPL6,ribosomal protein L6
200034_s_at,RPL6P27,ribosomal protein L6 pseudogene 27
200035_at,CTDNEP1,CTD nuclear envelope phosphatase 1
200036_s_at,RPL10A,ribosomal protein L10a
200037_s_at,CBX3,chromobox 3
200038_s_at,RPL17,ribosomal protein L17
200038_s_at,C18orf32,chromosome 18 open reading frame 32
200038_s_at,RPL17-C18orf32,RPL17-C18orf32 readthrough
200039_s_at,PSMB2,proteasome 20S subunit beta 2
200040_at,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1"
200041_s_at,DDX39B,DExD-box helicase 39B
200041_s_at,ATP6V1G2-DDX39B,ATP6V1G2-DDX39B readthrough (NMD candidate)
200042_at,RTCB,"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
200043_at,ERH,ERH mRNA splicing and mitosis factor
200044_at,SRSF9,serine and arginine rich splicing factor 9
200045_at,ABCF1,ATP binding cassette subfamily F member 1
200046_at,DAD1,defender against cell death 1
200047_s_at,YY1,YY1 transcription factor
200048_s_at,JTB,jumping translocation breakpoint
200049_at,KAT7,lysine acetyltransferase 7
200050_at,ZNF146,zinc finger protein 146
200051_at,SART1,"spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP"
200052_s_at,ILF2,interleukin enhancer binding factor 2
200053_at,SPAG7,sperm associated antigen 7
200054_at,ZPR1,ZPR1 zinc finger
200055_at,TAF10,TATA-box binding protein associated factor 10
200056_s_at,C1D,C1D nuclear receptor corepressor
